/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
601.62	76.42	2.58
602.05	72.20	2.29
602.48	72.23	2.32
602.90	80.89	2.41
603.33	64.98	2.26
603.76	73.14	2.48
604.19	79.81	2.55
604.61	74.00	2.60
605.04	73.68	2.63
605.47	69.52	2.19
605.89	70.38	2.18
606.32	66.52	2.01
606.75	70.61	2.15
607.17	70.98	2.33
607.60	67.23	2.35
608.03	70.87	2.13
608.45	65.82	2.39
608.88	62.94	2.19
609.31	68.48	2.02
609.73	68.44	2.13
610.16	66.78	2.32
610.59	65.04	2.26
611.01	63.60	2.12
611.44	63.85	2.10
611.87	62.52	2.23
612.29	66.46	2.17
612.72	69.54	2.25
613.15	62.79	2.28
613.57	64.10	2.14
614.00	66.73	2.48
614.43	66.98	2.00
614.85	70.58	2.26
615.28	70.15	2.43
615.71	65.89	2.14
616.14	65.20	2.31
616.56	68.61	1.92
616.99	65.63	2.12
617.42	62.14	1.98
617.84	71.68	1.94
618.27	68.20	1.97
618.70	66.20	2.02
619.12	61.58	2.00
619.55	94.14	2.78
619.87	89.78	2.76
620.19	77.70	2.47
620.51	73.10	2.27
620.83	58.93	1.23
621.15	56.85	1.62
621.46	57.02	1.52
621.78	63.56	2.28
622.10	70.48	2.52
622.42	74.78	2.17
622.74	74.88	2.13
623.06	77.42	2.25
623.37	78.87	2.66
623.71	74.92	2.32
624.23	84.24	2.69
624.75	85.26	2.74
625.27	82.34	2.37
625.79	107.40	3.07
626.20	188.41	6.18
626.44	195.42	6.42
626.67	209.31	7.26
627.38	224.88	6.97
627.61	236.55	7.22
627.85	236.67	7.58
628.08	264.41	9.37
628.32	265.49	8.23
628.55	260.23	9.14
628.79	274.97	9.06
629.02	267.01	8.85
629.26	292.66	8.84
629.49	305.61	8.15
629.73	282.59	8.50
629.96	277.58	8.70
630.20	284.42	8.99
630.43	307.33	9.87
630.66	306.12	10.37
630.90	342.32	9.95
631.13	310.26	10.15
631.37	317.36	10.61
631.60	318.66	9.81
631.84	304.87	9.46
632.07	315.75	11.16
632.31	325.78	11.09
632.54	310.38	10.33
632.78	319.86	10.32
633.01	309.95	10.67
633.25	322.77	10.53
633.48	319.92	10.82
633.72	313.36	10.48
633.95	329.23	10.50
634.19	309.66	10.87
634.42	305.80	10.21
634.66	293.01	9.74
634.89	347.72	9.08
635.13	299.09	9.74
635.36	325.67	10.75
635.59	303.84	10.45
635.83	307.21	10.80
636.06	290.83	10.69
636.30	320.47	10.73
636.53	331.73	10.59
636.77	313.93	10.74
637.00	325.45	10.40
637.24	311.72	10.28
637.47	317.42	10.26
637.71	317.24	10.05
637.94	350.47	10.34
638.18	351.91	11.41
638.41	345.71	11.09
638.65	343.82	11.13
638.88	339.02	11.50
639.12	347.23	11.21
639.35	381.55	11.77
639.59	370.53	11.59
639.82	351.30	10.93
640.06	335.28	11.04
640.29	336.22	10.95
640.52	317.47	10.93
640.76	294.07	10.51
640.99	293.61	10.37
641.23	306.67	10.55
641.46	285.39	9.78
641.70	309.64	9.15
641.93	293.59	10.03
642.17	327.98	9.66
642.40	328.97	9.59
642.64	264.62	8.41
642.87	280.29	9.32
643.11	418.19	8.97
643.34	266.78	8.21
643.58	209.13	7.38
643.86	181.52	6.81
644.17	235.24	7.40
644.49	207.40	7.19
644.80	231.52	7.68
645.12	204.93	6.97
645.43	206.87	6.98
645.74	216.13	7.60
646.06	208.91	6.96
646.37	214.24	7.08
646.69	211.23	7.32
647.00	210.87	6.56
647.31	218.25	6.94
647.63	237.48	7.08
647.94	212.94	7.34
648.26	197.03	6.33
648.57	205.26	6.41
648.89	193.17	6.29
649.20	200.28	6.86
649.51	218.59	7.30
649.83	222.54	8.18
650.14	231.47	7.51
650.46	219.32	7.10
650.77	230.40	6.40
651.08	219.44	7.12
651.40	234.73	7.57
651.71	200.61	7.17
652.03	218.09	7.43
652.34	226.93	7.44
652.66	207.26	7.29
652.97	303.38	7.13
653.28	222.35	7.29
653.60	222.23	7.54
653.91	218.02	7.29
654.23	286.40	7.89
654.54	278.58	8.59
654.86	295.25	8.46
655.17	277.96	9.00
655.48	261.96	8.10
655.80	253.20	8.47
656.11	256.52	8.67
656.43	256.87	8.29
656.74	240.68	7.94
657.05	272.59	7.98
657.37	269.99	8.58
657.68	269.29	8.11
658.00	243.80	8.33
658.31	249.76	7.58
658.63	260.81	7.92
658.94	257.92	8.91
659.25	274.10	9.21
659.57	329.82	10.07
659.88	326.04	9.66
660.20	342.47	9.44
660.51	299.36	10.06
660.82	290.31	9.11
661.14	308.13	9.32
661.45	312.57	9.99
661.77	267.49	8.27
662.08	261.72	7.73
662.40	332.66	9.30
662.71	356.72	9.53
663.02	323.62	9.85
663.34	296.74	9.81
663.65	278.72	9.42
663.97	262.83	8.64
664.28	256.10	8.57
664.59	309.04	9.89
664.91	333.22	10.62
665.22	337.43	10.72
665.54	311.46	8.95
665.85	289.77	9.55
666.17	353.11	11.23
666.48	347.66	11.31
666.79	360.48	11.19
667.11	369.27	11.29
667.42	381.47	12.18
667.74	418.40	14.18
668.05	508.39	10.42
668.36	421.93	13.05
669.31	309.98	8.73
669.62	221.45	7.30
670.01	228.37	6.77
670.42	223.48	6.58
670.83	253.97	6.49
671.24	218.82	7.14
671.65	179.70	6.26
672.06	188.98	6.80
672.47	205.90	6.96
672.88	208.36	7.33
673.29	192.40	6.90
673.70	182.75	6.51
674.11	177.65	5.85
674.52	177.46	5.93
674.93	181.32	6.12
675.34	175.83	5.84
675.76	165.81	5.36
676.17	163.41	5.73
676.58	175.26	6.09
676.99	164.04	5.62
677.40	176.38	5.67
677.81	188.74	6.30
678.22	185.11	5.24
678.63	169.96	5.89
679.04	187.96	6.14
679.45	203.92	6.76
679.86	205.33	6.41
680.27	195.02	6.94
680.68	205.68	7.14
681.09	211.42	6.18
681.50	219.39	6.30
681.91	195.57	6.51
682.33	218.09	6.71
682.74	204.94	7.08
683.15	205.05	6.80
683.56	214.10	6.64
683.97	205.76	7.02
684.38	178.14	6.61
684.79	199.64	6.07
685.20	238.98	5.84
685.61	234.01	6.30
686.02	171.70	6.01
686.43	143.93	5.46
686.84	133.72	4.96
687.25	131.79	4.71
687.66	127.08	4.62
688.07	141.99	5.22
688.48	182.17	6.61
688.89	168.33	6.00
689.31	119.15	4.21
689.72	124.04	4.54
690.13	121.15	4.30
690.54	123.67	4.37
690.95	108.61	3.76
691.36	121.02	3.95
691.77	126.49	4.22
692.18	120.26	4.16
692.59	112.72	4.08
693.00	110.13	4.07
693.41	106.46	3.50
693.82	112.17	3.40
694.23	122.06	4.78
694.64	122.16	3.85
695.05	109.72	3.82
695.46	113.77	2.70
695.88	102.97	2.91
696.29	107.22	3.11
696.70	98.34	3.05
697.11	99.53	2.76
697.52	97.91	2.63
697.93	101.86	3.44
703.43	107.13	3.65
703.78	99.82	3.32
704.13	106.97	3.26
704.48	107.89	3.35
704.83	110.89	3.35
705.18	112.99	3.44
705.53	104.09	3.08
705.88	95.75	2.96
706.23	105.90	3.44
706.58	118.97	3.41
706.93	109.77	3.61
707.28	121.98	3.28
707.63	122.30	3.91
707.98	112.02	3.80
708.33	133.81	4.28
708.68	128.78	4.11
709.03	128.88	4.96
709.38	133.44	4.48
709.73	137.97	4.70
710.08	136.78	4.74
710.43	136.86	4.78
710.78	223.73	5.15
711.13	149.75	5.15
711.48	147.77	4.69
711.83	153.91	4.65
712.18	149.58	4.88
712.54	148.30	4.52
712.89	159.54	5.38
713.24	180.34	5.71
713.59	174.85	5.58
713.94	175.58	6.70
714.29	173.58	5.69
714.64	171.88	5.61
714.99	183.29	5.94
715.33	202.13	6.73
715.60	255.59	7.95
715.86	262.97	8.05
716.13	283.31	8.73
716.39	266.60	9.21
716.65	322.47	9.93
716.92	304.03	9.80
717.18	318.46	10.32
717.44	317.25	9.83
717.71	270.95	8.83
717.97	284.46	9.29
718.24	381.67	11.46
718.50	326.72	10.52
718.76	382.26	11.65
719.03	407.76	11.90
719.29	332.95	11.32
719.55	393.73	11.56
719.82	338.51	10.29
720.08	303.91	10.34
720.35	329.54	10.50
720.61	303.32	9.99
720.87	378.53	11.43
721.14	386.18	10.49
721.40	341.50	10.04
721.66	321.75	10.10
721.93	347.05	10.15
722.19	312.76	9.84
722.46	313.48	9.18
722.72	409.47	10.02
722.98	352.95	8.87
723.25	295.93	8.18
723.51	263.88	7.61
723.78	254.33	6.84
724.04	271.12	7.39
724.30	302.97	7.27
724.57	265.58	7.41
724.83	231.15	7.87
725.09	211.87	8.44
725.36	206.87	7.93
725.62	219.09	7.76
725.89	225.93	8.04
726.15	250.95	7.65
726.41	214.37	7.06
726.68	204.59	7.13
727.89	133.35	4.31
728.29	93.15	3.38
728.68	85.84	2.53
729.08	105.99	3.64
729.47	110.95	4.20
729.87	102.65	3.60
730.27	105.02	4.13
730.66	128.97	4.68
731.06	116.79	4.40
731.45	126.31	4.53
731.85	123.41	4.82
732.24	121.29	4.46
732.64	130.51	4.71
733.03	125.73	4.34
733.43	120.61	4.14
733.82	120.90	4.54
734.22	144.16	5.14
734.62	155.23	4.89
735.01	144.38	4.95
735.41	142.12	4.79
735.80	158.92	4.87
736.20	190.25	5.83
736.59	185.22	5.86
736.99	188.81	6.05
737.38	178.90	5.71
737.78	204.15	6.60
738.17	259.88	7.08
738.53	275.86	8.37
738.80	256.78	8.31
739.06	255.15	8.53
739.33	304.48	8.98
739.60	288.08	9.59
739.87	314.99	10.76
740.14	308.74	9.86
740.40	333.27	11.42
740.67	340.74	11.69
740.94	323.31	11.05
741.21	331.76	11.11
741.47	370.52	12.17
741.74	413.99	12.72
742.01	453.84	15.24
742.28	454.22	14.67
742.55	462.95	15.55
742.81	394.45	14.07
743.08	480.81	15.10
743.35	460.44	14.41
743.62	438.37	14.24
743.89	448.71	14.58
744.15	427.13	13.89
744.42	415.61	13.88
744.69	384.48	12.79
744.96	411.41	12.43
745.23	377.13	11.21
745.49	343.03	10.97
745.76	365.40	10.47
746.03	317.82	9.85
746.30	281.75	9.49
746.57	283.29	8.87
746.83	282.58	8.95
747.10	275.13	9.09
747.37	408.28	8.06
747.64	258.69	8.04
747.91	264.06	8.14
748.17	258.47	8.30
748.44	277.95	7.93
748.71	275.27	8.06
748.98	248.99	7.87
749.25	246.59	7.31
749.51	239.78	7.21
749.78	181.09	5.89
750.09	176.44	5.61
750.42	185.65	5.82
750.74	190.98	5.85
751.07	192.75	5.86
751.39	174.56	6.20
751.72	196.79	6.39
752.04	169.57	5.61
752.37	170.26	6.05
752.70	176.78	5.59
753.02	175.15	5.31
753.35	194.50	5.73
753.67	175.74	5.29
754.00	173.20	5.85
754.32	169.81	5.96
754.65	168.75	4.93
754.97	160.87	5.20
755.30	168.15	4.98
755.62	176.88	5.96
755.95	158.83	5.30
756.28	162.68	5.46
756.60	160.01	5.07
756.93	144.25	4.48
757.25	140.20	4.31
757.58	132.91	4.55
757.90	135.02	5.18
758.23	138.31	4.92
758.55	151.23	5.54
758.88	168.95	5.26
759.20	141.86	4.84
759.53	134.94	5.07
759.86	127.30	4.60
760.18	146.12	4.83
760.51	159.95	5.59
760.83	157.25	4.84
761.16	156.59	5.12
761.48	160.79	5.82
761.81	248.05	5.83
762.13	167.71	5.54
762.46	163.40	4.87
762.78	151.94	5.13
763.11	156.25	5.24
763.44	149.45	5.27
763.76	152.93	5.19
764.09	140.18	4.65
764.41	173.68	6.01
764.65	226.87	7.96
764.90	235.26	8.62
765.14	235.32	8.86
765.38	250.76	7.63
765.62	226.41	8.23
765.86	227.92	8.03
766.10	243.48	7.88
766.34	221.93	8.16
766.58	226.75	8.39
766.83	226.35	8.11
767.07	207.67	8.13
767.31	278.81	8.93
767.55	271.31	9.90
767.79	267.20	8.92
768.03	265.26	9.17
768.27	254.31	7.78
768.51	259.35	9.08
768.75	207.98	6.86
769.00	219.36	6.85
769.24	261.34	9.31
769.48	198.55	5.72
769.72	183.00	6.36
769.96	188.22	6.07
770.20	187.79	5.71
770.44	195.53	6.19
770.68	234.56	7.77
770.92	187.99	6.61
771.17	204.57	6.66
771.41	199.75	5.90
771.89	112.57	3.89
772.37	137.41	4.71
772.85	98.57	2.63
773.34	97.31	3.33
773.82	102.02	2.87
774.30	113.55	2.63
774.78	127.20	2.76
775.27	114.51	2.86
775.75	114.04	3.10
776.23	135.25	2.90
776.95	106.47	3.18
777.44	116.44	3.16
777.92	137.16	3.43
778.40	136.89	3.93
778.88	145.40	3.85
779.37	172.74	3.96
779.85	206.58	3.55
780.33	167.20	4.05
780.81	139.74	4.01
781.30	147.40	3.39
781.78	130.37	3.13
782.26	130.37	3.67
782.74	142.56	3.61
783.22	133.60	3.27
783.71	138.22	4.36
784.19	142.58	4.32
784.43	138.43	4.57
784.91	141.74	3.76
785.39	140.06	4.11
785.88	161.46	3.82
786.36	142.78	3.50
786.84	135.56	3.70
787.32	153.63	4.03
787.81	130.33	3.59
788.29	204.74	4.75
788.68	201.53	4.81
789.06	193.81	4.94
789.45	175.15	4.24
789.83	193.95	4.88
790.22	183.56	4.61
790.61	190.09	5.69
790.99	175.30	5.65
791.38	214.07	5.23
791.77	179.07	6.00
791.96	215.77	5.35
792.35	208.40	6.11
792.73	228.08	6.23
793.12	208.39	6.70
793.51	234.65	6.69
793.89	240.96	6.03
794.28	247.67	6.46
794.67	210.28	6.57
795.05	209.61	6.44
795.25	219.47	7.03
795.44	248.82	7.84
795.63	255.97	7.34
795.83	303.76	8.13
796.21	274.61	8.41
796.41	366.80	9.68
796.60	324.65	9.93
796.79	336.49	10.90
796.98	399.03	11.49
797.18	365.70	11.62
797.37	314.49	10.02
797.56	295.19	8.86
797.95	294.47	9.46
798.14	315.11	10.90
798.34	312.56	9.73
798.53	306.04	10.07
798.72	315.44	10.06
798.92	318.05	10.55
799.11	323.51	10.28
799.30	322.36	10.14
799.50	328.94	10.54
799.88	351.03	11.70
800.08	374.92	11.83
800.27	387.34	12.71
800.46	400.24	12.24
800.66	446.24	12.18
800.85	451.22	12.64
801.04	411.72	12.81
801.24	397.05	12.41
801.43	344.71	11.52
801.82	435.39	11.86
802.01	399.32	12.28
802.20	349.47	11.12
802.40	383.87	11.90
802.59	383.88	13.35
802.78	385.32	13.00
803.56	393.40	12.98
803.75	408.46	13.26
803.94	391.22	12.47
804.13	381.68	12.65
804.33	386.86	12.56
804.52	398.80	13.15
804.71	395.38	12.79
804.91	432.93	12.97
805.10	426.00	13.94
805.49	459.90	14.17
805.68	439.52	14.93
805.87	475.66	15.92
806.07	471.02	14.62
806.26	468.63	15.32
807.61	407.51	12.58
807.81	374.74	12.63
808.00	330.54	11.23
808.19	365.64	9.30
808.39	316.54	10.11
808.58	400.30	11.78
808.77	353.63	10.56
808.97	350.99	10.44
809.16	356.12	10.23
809.35	334.37	11.70
809.55	339.34	10.80
809.74	394.38	11.66
809.93	404.94	11.40
810.13	473.87	12.23
810.32	363.40	11.76
810.51	396.60	11.87
810.70	380.99	11.32
810.90	371.09	11.61
811.09	364.40	10.88
811.28	352.63	10.90
811.48	353.43	10.62
811.86	304.87	7.77
812.13	229.24	6.53
812.78	201.05	5.88
813.11	198.85	6.08
813.76	185.09	5.72
814.09	193.94	5.73
814.42	180.80	5.50
815.07	203.79	5.84
815.40	197.56	5.32
816.05	207.35	5.72
816.38	187.91	5.83
816.70	216.63	6.60
817.36	194.38	6.33
817.68	197.50	6.22
818.34	164.37	5.09
818.66	199.65	5.52
819.32	229.19	5.51
819.64	219.65	5.44
819.97	203.09	5.86
820.62	182.56	5.65
820.95	187.55	5.35
821.60	261.10	5.72
821.93	181.98	4.96
822.25	168.06	5.39
822.91	165.05	5.45
823.23	167.85	5.38
823.89	168.86	5.23
824.21	173.41	6.02
824.87	159.01	5.25
825.19	162.14	5.94
825.52	162.22	5.69
826.17	160.52	5.42
826.50	162.91	5.29
827.15	175.96	6.05
827.48	175.30	6.18
827.81	174.28	5.49
828.46	285.61	5.24
828.79	131.56	4.38
829.16	153.81	4.58
829.44	159.46	5.24
829.86	150.69	4.68
830.56	155.17	5.47
830.75	150.28	4.64
831.07	137.70	4.18
831.26	155.10	5.03
831.73	132.45	4.56
831.96	164.90	4.96
832.66	180.78	5.23
833.36	184.89	5.56
834.06	165.96	5.54
834.76	161.67	5.38
835.46	183.05	5.47
836.16	174.90	5.83
836.86	171.07	5.63
837.56	182.79	5.77
838.26	153.17	4.70
838.67	160.17	5.31
839.08	159.65	5.13
839.48	167.89	4.91
839.89	162.35	4.72
840.30	148.52	4.82
840.71	133.63	4.54
841.12	129.56	4.23
841.53	127.94	3.61
841.93	136.93	4.12
842.34	142.95	4.79
842.75	134.98	4.68
843.16	136.71	4.87
843.57	165.85	6.05
843.98	193.90	6.70
844.38	250.60	8.61
844.79	229.63	7.38
845.20	238.86	7.48
845.62	202.15	6.57
846.03	183.68	6.40
846.44	200.10	6.20
846.85	169.26	5.42
847.26	151.76	5.11
847.68	161.62	5.22
848.09	158.31	4.87
848.50	154.96	5.65
848.91	154.12	5.02
849.32	149.39	5.19
849.73	133.40	4.24
850.15	131.09	4.19
850.56	137.79	5.07
850.97	175.36	5.61
851.38	145.28	4.75
851.79	149.78	4.57
852.21	147.10	5.21
852.62	145.61	4.61
853.03	115.23	4.09
853.44	123.73	3.97
853.85	120.00	4.19
854.26	118.62	4.04
854.68	116.33	3.86
855.09	109.60	3.72
855.50	101.09	3.39
855.91	107.97	3.42
856.32	105.21	3.68
856.74	112.86	4.13
857.15	113.41	3.62
857.56	118.09	4.31
857.97	111.79	4.28
858.38	124.07	4.59
858.79	123.66	4.45
859.21	124.35	4.27
859.62	136.66	4.28
860.03	127.37	4.51
860.44	155.10	4.97
860.85	128.58	4.12
861.26	146.60	4.98
861.68	140.88	4.63
862.09	166.91	5.98
862.50	135.02	4.42
862.91	169.23	5.25
863.33	176.77	5.73
863.87	158.85	5.30
864.00	135.74	3.86
864.13	132.25	4.22
864.26	134.21	4.98
864.39	118.13	3.96
864.54	114.60	3.56
864.68	112.73	4.27
864.83	112.76	3.62
864.98	116.87	3.65
865.12	120.72	3.32
865.27	122.81	4.23
865.42	111.54	3.73
865.56	100.63	3.41
865.71	105.72	3.09
865.86	107.10	2.92
866.00	135.23	2.82
866.15	120.28	2.94
866.30	96.95	3.01
866.45	91.72	2.87
866.59	98.09	2.46
866.74	103.61	2.53
866.89	99.16	3.10
867.03	99.32	3.60
867.18	97.15	3.15
867.33	91.98	3.28
867.47	85.84	2.51
867.62	90.47	2.92
867.77	87.85	3.15
867.91	89.09	2.54
868.06	86.59	2.87
868.21	90.10	3.56
868.35	93.74	3.47
868.50	87.19	3.52
868.65	85.20	3.35
868.79	88.59	3.47
868.94	90.29	3.59
869.09	88.98	3.71
869.23	88.33	3.01
869.38	88.79	3.29
869.53	86.41	2.93
869.89	98.75	3.22
870.26	103.13	2.91
870.63	106.28	3.16
871.00	132.26	3.52
871.36	128.96	3.29
871.73	116.86	3.14
872.10	103.00	3.51
872.46	111.91	3.24
872.83	117.82	3.29
873.20	111.92	3.36
873.56	123.68	3.06
873.93	145.66	4.14
874.30	153.70	4.25
874.67	191.48	5.14
875.03	189.87	6.24
875.40	203.87	5.58
875.77	191.28	5.45
876.13	192.89	5.48
876.50	183.09	5.53
876.87	191.67	5.99
877.14	223.28	6.23
877.40	242.61	6.19
877.67	190.54	6.28
877.94	147.09	4.99
878.20	180.59	6.22
878.47	190.80	5.41
878.74	172.89	5.32
879.00	160.86	5.28
879.27	193.41	6.04
879.54	211.26	6.53
879.80	187.62	6.19
880.07	144.57	4.44
880.34	175.86	6.10
880.60	176.81	5.25
880.87	179.02	4.49
881.14	179.40	4.50
881.40	148.70	4.45
881.67	171.88	5.53
881.94	180.95	6.31
882.21	185.25	6.15
882.47	186.76	6.19
882.74	175.64	6.15
883.01	194.24	5.83
883.27	161.93	5.48
883.54	159.08	5.53
883.81	164.67	5.64
884.08	157.58	5.62
884.34	169.79	6.09
884.61	161.09	5.83
884.88	171.39	5.85
885.14	169.64	6.01
885.41	179.32	6.44
885.68	180.26	6.51
885.94	194.54	7.30
886.21	186.14	6.67
886.48	196.66	7.05
886.74	240.13	8.23
887.01	239.76	8.25
887.28	160.03	5.18
887.81	222.87	6.16
888.08	256.71	9.22
888.34	251.08	8.95
888.61	248.55	8.32
888.93	243.04	8.52
889.25	254.34	8.48
889.57	240.19	8.68
889.89	241.74	8.89
890.21	256.72	9.07
890.53	251.15	9.26
890.85	265.05	9.04
891.17	295.60	9.81
891.49	259.06	9.32
891.80	251.30	8.81
892.12	289.54	9.93
892.44	268.13	9.31
892.76	318.24	8.98
893.08	270.79	9.25
893.40	250.09	8.52
893.72	309.06	9.15
894.04	265.47	9.27
894.36	271.82	8.87
894.67	263.85	9.46
894.99	259.96	8.69
895.31	262.45	9.49
895.63	259.98	9.08
895.95	298.04	9.61
896.27	288.40	10.21
896.59	258.99	8.53
896.91	261.31	9.62
897.23	260.88	9.34
897.55	311.70	11.37
897.87	317.66	11.22
898.19	318.97	11.08
898.51	326.96	11.57
898.83	308.22	10.56
899.14	337.24	11.23
899.46	310.77	10.28
899.78	313.83	10.30
900.10	324.82	10.64
900.42	382.57	9.74
900.74	304.72	9.64
901.06	293.16	9.12
901.38	242.86	7.19
901.70	255.71	6.96
902.01	248.02	6.93
902.33	203.47	5.87
902.65	243.90	7.16
902.97	245.09	6.74
903.29	168.56	5.92
903.59	192.00	6.75
903.88	186.92	6.54
904.17	211.43	6.99
904.47	197.26	7.18
904.76	216.72	7.15
905.05	205.82	6.90
905.35	183.43	6.95
905.64	176.98	5.68
905.93	182.61	5.73
906.23	205.14	6.26
906.52	177.97	5.89
906.81	183.17	5.68
907.11	188.56	5.74
907.40	205.45	5.80
907.70	217.38	6.47
907.99	201.11	5.83
908.28	220.44	6.50
908.58	266.16	6.90
908.87	266.24	8.09
909.16	218.92	6.72
909.46	247.15	8.24
909.75	223.63	7.57
910.04	280.98	8.71
910.34	305.71	9.57
910.63	318.57	10.21
910.93	331.78	10.52
911.22	307.49	10.35
911.51	339.41	11.01
911.81	365.81	12.73
912.10	359.86	12.25
912.37	420.24	14.49
912.64	373.73	13.61
912.91	473.96	16.26
913.17	438.71	15.07
913.45	363.61	12.44
913.71	429.37	15.25
913.98	380.98	13.90
914.25	414.30	15.88
914.52	413.58	15.04
914.79	426.07	14.96
915.06	439.85	16.34
915.33	444.76	16.83
915.60	450.71	15.85
915.87	447.52	16.03
916.14	449.88	15.99
916.40	451.28	16.14
916.68	453.51	16.35
916.94	434.23	15.95
917.21	445.33	16.04
917.48	464.12	17.28
917.75	440.12	16.63
918.02	423.26	15.35
918.29	429.29	15.68
918.56	460.24	15.93
918.83	445.89	16.54
919.10	471.29	16.32
919.37	472.20	16.19
919.63	451.86	16.35
919.91	432.36	14.75
920.17	408.46	13.88
920.32	415.52	13.18
920.48	387.27	13.82
920.63	343.26	12.32
920.78	347.04	11.89
920.93	339.59	11.92
921.08	306.87	11.05
921.24	306.59	11.56
921.39	305.41	11.05
921.54	280.97	9.94
921.69	277.85	10.01
921.84	246.14	8.88
922.00	252.15	9.05
922.15	278.43	9.44
922.30	270.78	9.09
922.45	266.50	9.85
922.60	276.45	10.21
922.75	282.57	10.17
922.91	298.58	11.20
923.06	294.00	9.99
923.21	287.67	9.88
923.36	276.99	9.95
923.51	263.85	9.07
923.67	276.65	9.28
923.82	305.17	9.48
923.97	261.63	9.16
924.12	275.71	9.17
924.27	277.77	8.16
924.43	231.48	8.95
924.58	327.04	11.74
924.73	311.96	10.90
924.88	322.10	11.27
925.03	302.91	10.65
925.19	333.00	11.57
925.34	383.78	13.26
925.49	372.07	12.17
925.64	311.77	11.09
925.79	255.56	9.21
925.94	249.48	8.50
926.10	277.26	9.01
926.40	233.83	7.84
926.55	227.65	7.93
926.70	219.63	7.84
926.86	251.05	7.77
927.01	238.59	8.74
927.16	226.16	8.02
927.31	217.82	7.43
927.46	194.75	6.47
927.62	212.69	7.66
927.77	229.77	8.09
927.92	207.52	6.85
928.07	217.51	6.99
928.22	219.90	8.37
928.37	215.36	7.09
928.53	214.09	7.64
928.68	198.60	6.87
928.83	194.85	7.13
928.98	205.94	6.77
929.21	236.78	7.98
929.43	239.58	7.93
929.65	236.76	7.63
929.88	251.29	8.24
930.10	267.51	7.81
930.32	232.81	7.04
930.55	223.56	7.38
930.77	192.62	6.84
931.00	201.77	6.90
931.22	209.55	6.49
931.44	209.28	6.24
931.67	189.65	6.10
931.89	217.81	7.37
932.12	210.82	7.03
932.34	196.41	6.01
932.56	160.84	4.87
932.79	154.20	5.11
933.01	144.04	4.46
933.23	185.65	5.37
933.46	152.77	4.98
955.96	106.44	3.00
955.99	129.93	3.51
956.03	141.20	3.49
956.07	118.99	3.68
956.10	140.84	3.42
956.14	126.64	3.77
956.51	133.92	3.81
956.87	142.08	3.69
957.24	137.14	3.95
957.61	135.03	4.03
957.97	114.44	3.26
958.34	112.18	3.62
958.71	111.15	3.00
959.08	113.25	3.32
959.44	117.84	4.05
959.81	118.94	3.71
960.18	113.99	3.39
960.54	112.06	3.74
960.91	109.16	3.08
961.28	99.11	2.68
961.64	117.81	3.08
962.01	154.51	3.64
962.38	150.82	3.13
962.75	127.11	3.82
963.11	130.07	4.14
963.48	128.50	3.13
963.85	116.00	3.07
964.21	133.27	3.75
964.58	141.08	3.57
964.95	144.77	4.33
965.31	170.77	5.26
965.68	188.35	5.02
966.05	190.50	5.80
966.42	191.03	6.00
966.78	208.67	6.11
967.15	207.90	5.76
967.52	238.42	7.07
967.88	244.44	6.61
968.25	271.83	8.28
968.62	310.35	8.54
968.98	285.02	7.82
969.35	237.55	6.89
969.72	326.19	9.44
970.09	428.95	10.62
970.45	301.13	8.32
970.82	299.27	9.45
971.00	303.16	8.43
971.19	307.24	8.42
971.37	288.32	7.93
971.55	246.53	7.73
971.74	309.75	7.28
971.92	284.67	8.12
972.10	273.53	8.19
972.29	250.85	6.98
