/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
91.85	113.53	3.50
92.24	108.81	3.55
92.63	102.24	2.83
93.02	114.53	3.05
93.41	114.46	3.13
93.80	105.27	3.70
94.19	112.95	3.34
94.58	110.01	3.24
94.97	93.02	2.49
95.36	100.77	3.17
95.75	105.52	3.25
96.14	104.47	3.47
96.53	103.21	3.26
96.92	105.30	3.04
97.31	109.05	3.10
97.70	100.49	2.95
98.09	105.58	3.24
98.48	109.64	3.38
98.87	112.63	3.34
99.26	102.13	3.13
99.65	115.96	3.65
100.04	110.09	3.29
100.43	85.96	2.86
100.82	112.83	3.21
101.21	116.44	4.09
101.60	133.32	4.08
101.99	139.48	4.32
102.38	122.12	3.57
102.77	126.29	4.21
103.16	126.01	3.94
103.55	109.88	3.60
103.94	93.78	2.93
104.72	106.60	3.21
105.11	113.42	3.57
105.50	133.87	4.00
105.88	123.30	3.85
106.27	128.40	4.08
106.66	132.11	3.90
107.05	139.76	4.18
107.44	142.33	4.71
107.83	144.89	4.65
108.22	142.01	4.55
108.61	148.20	4.71
109.00	148.67	4.51
109.39	133.94	4.02
109.78	137.70	4.31
110.17	144.57	4.60
110.56	129.85	3.88
110.95	137.74	4.22
111.34	135.82	4.18
111.74	88.18	2.69
112.38	88.54	2.74
113.02	85.86	2.89
113.66	78.01	2.40
114.30	81.91	2.60
114.94	77.21	2.55
115.58	76.43	2.76
116.22	76.84	2.24
116.86	69.06	2.14
117.50	69.90	2.14
118.14	66.26	2.11
118.78	66.89	1.95
119.42	62.12	2.06
120.06	61.54	2.02
120.70	57.43	1.88
121.34	63.01	1.87
121.98	58.22	1.80
122.61	55.60	1.70
123.25	52.01	1.57
123.89	53.47	1.68
124.53	50.25	1.63
125.17	52.58	1.83
125.81	54.40	1.90
126.45	49.61	1.59
127.09	51.65	1.92
127.73	49.88	1.77
128.37	48.04	1.58
129.01	44.81	1.53
129.65	50.47	1.34
130.29	46.11	1.17
130.93	45.54	1.62
131.57	50.65	1.62
132.21	57.24	1.75
132.85	55.77	1.80
133.49	196.79	6.57
133.69	181.63	6.24
133.89	184.12	6.27
134.10	183.93	5.50
134.30	189.47	5.92
134.50	201.93	6.59
134.70	196.97	6.22
134.90	199.23	6.69
135.11	202.23	7.14
135.31	196.12	6.49
135.51	198.09	6.56
135.71	204.76	6.12
135.91	184.67	5.52
136.12	198.06	6.43
136.32	207.33	5.40
136.52	214.10	5.69
136.72	211.42	6.09
136.92	209.58	6.82
137.13	204.22	6.35
137.33	195.04	5.77
137.53	197.22	5.97
137.73	238.10	6.81
137.93	239.94	6.81
138.14	229.33	7.41
138.34	223.44	6.61
138.54	258.02	6.44
138.74	271.79	6.27
138.94	363.92	6.47
139.15	229.82	6.32
139.35	222.32	6.44
139.55	247.38	7.26
139.75	241.24	7.45
139.95	254.85	6.63
140.16	273.54	8.14
140.36	299.52	8.93
140.56	283.05	9.08
140.76	286.89	8.77
140.96	287.64	8.30
141.17	290.84	7.90
141.37	274.16	7.94
141.57	282.69	9.42
141.77	288.33	7.53
141.97	298.97	8.61
142.18	294.08	8.94
142.38	290.76	8.74
142.58	283.10	8.25
142.78	299.03	8.87
142.99	293.29	9.25
143.19	289.64	8.60
